Frequency_Hz,Frequency_MHz,20260515_092941,20260515_130634,20260515_130927,20260515_131116,20260515_131246,20260515_133100,20260515_134613,20260515_134951,20260515_140509,20260521_162959,20260522_135524
75990142.822265625,75.990142822266,1.2040419768180773e-05,0.00030836463198572015,5.0700158533306626e-05,5.5341831576776044e-05,5.8322447122292805e-05,4.4334974174959192e-05,0.0013046657172500499,0.00010720565348521511,8.4251662627852304e-05,9.5553364255756781e-05,1.5294955281089227e-05
75990287.780761719,75.990287780762,8.6658631664263124e-06,0.00027950849625586776,5.6820697332841246e-05,5.5082394141175208e-05,4.5702517198041817e-05,5.6354365420881091e-05,0.00134354471768521,0.00015999174107659409,0.00011356628804973981,8.0212703085361629e-05,1.7952076039418702e-05
75990432.739257812,75.990432739258,1.1515686067021869e-05,0.00032082469011315341,5.2336930460910938e-05,5.9160419836359975e-05,4.4723828748767188e-05,4.2074633263463292e-05,0.003285938681208089,0.00029122648529138385,0.00018095312795540419,7.9038842912384949e-05,2.7791647774725423e-05
75990577.697753906,75.990577697754,1.3957694896903981e-05,0.00034914520136075119,3.5127919842036495e-05,5.3038779496040675e-05,4.2726644390116215e-05,3.9000811510747814e-05,0.0022983957988808035,0.00019831308100469916,0.00010945772030643901,0.00011638755680557412,3.7676600178320098e-05
75990722.65625,75.990722656250,1.3065194395618912e-05,0.00030191493068735419,4.2766182791085901e-05,4.6074113904180135e-05,3.8732097627005609e-05,3.6542947135186276e-05,0.0010976571129863706,8.7654386953152353e-05,6.9427104636894782e-05,0.00012364405407659594,4.2078217576922353e-05
75990867.614746094,75.990867614746,1.3365263004555402e-05,0.00033656432340759766,5.3257103348908657e-05,3.934243123974393e-05,3.0731173280011516e-05,4.060172895217879e-05,0.0017345190177775307,9.1405564847675289e-05,6.4519419660540893e-05,0.0001017778936207489,3.1313941865990084e-05
75991012.573242188,75.991012573242,1.024048117629526e-05,0.00036859649237483302,5.022501224499848e-05,3.7662205292843861e-05,3.6696415130260465e-05,3.5901073230498584e-05,0.00077183374618493186,6.7026525412935454e-05,4.5771345716725314e-05,0.00014149888915566733,2.7045570315674602e-05
75991157.531738281,75.991157531738,9.953456865354802e-06,0.00024363539573266823,3.7211595976014911e-05,4.7083145034020441e-05,3.7992982636901459e-05,3.8768238645263597e-05,0.001875570524329287,0.00013064249368118088,6.5075882103561198e-05,0.00015692413013511958,2.465193602700699e-05
75991302.490234375,75.991302490234,9.7877430550926988e-06,0.00030179559422632661,5.1700004539565592e-05,4.6275814460094677e-05,5.5942861243358715e-05,4.6984957193439056e-05,0.0022730368960447956,0.0002159541964282681,7.1760344202848763e-05,0.00020083053649498148,2.2208198328176342e-05
75991447.448730469,75.991447448730,1.2211735653705679e-05,0.00030052407282757691,6.1623892850165725e-05,3.6776598069766977e-05,5.0988356591895498e-05,4.0026594115871164e-05,0.0021159481450673144,0.00020104740737814507,9.6717618624416724e-05,0.00019237962640392716,1.9574679979294814e-05
75991592.407226562,75.991592407227,1.1915076578870012e-05,0.00040887752285161176,6.4940049700261835e-05,5.7525284478945096e-05,4.3019043178598828e-05,4.1097942879679244e-05,0.0091306755804775753,0.00097687360092197132,0.00037601961741090436,0.00017297077031724987,1.7717582314514852e-05
75991737.365722656,75.991737365723,1.0757140815089651e-05,0.00043873171167984774,5.4274646983591771e-05,8.0740227339686074e-05,3.1565641842765636e-05,4.846849513632636e-05,0.041113882384264673,0.0039710764600189904,0.0017903265879089965,0.00028470381482082055,3.7935713332198521e-05
75991882.32421875,75.991882324219,1.0443190077197137e-05,0.00043168740550076468,4.1796395726378455e-05,7.2307969355300263e-05,3.8616292607649086e-05,4.7775083058766356e-05,0.054819987311199234,0.0052337354717363989,0.0022592698965117528,0.0004276345529922499,0.00075892237649289164
75992027.282714844,75.992027282715,1.0711682690324524e-05,0.00050144874392845198,4.888094119454812e-05,5.1253897330879244e-05,5.5432522490977811e-05,4.1591329893847593e-05,0.026787969609458371,0.002542753220792178,0.0012374048381683614,0.00028018928571435167,0.0018678994549110961
75992172.241210938,75.992172241211,1.1560558926536504e-05,0.00038109760403539587,5.1956701496861761e-05,5.2686251818333943e-05,6.1869967185286829e-05,3.9738187080656859e-05,0.0071329429282091994,0.00065871616929836629,0.00049767669501523152,0.00019185180718960166,0.00034209131494832869
75992317.199707031,75.992317199707,1.2045456560462226e-05,0.00044065025505890017,5.7065513283559925e-05,5.2249412626205747e-05,5.1008248514888007e-05,5.7490640897084542e-05,0.067377019412478714,0.0068699444281609106,0.0037532416511316556,0.00024158215809654584,7.8295189623281793e-05
75992462.158203125,75.992462158203,1.1163037643601057e-05,0.00051992808974859182,5.7704472439901411e-05,4.1792160517804481e-05,5.1982899687723991e-05,3.8156707534952073e-05,0.070888523113778981,0.0069924607310475678,0.0041096684973645197,0.00021845393976068208,4.7285387283866251e-05
75992607.116699219,75.992607116699,1.0528430822918166e-05,0.00044273481039987776,5.2916222439347377e-05,4.5840517039768924e-05,3.5499451748529027e-05,3.5229206800446109e-05,0.0052548138679518915,0.00039606041986125302,0.00033148693300981191,0.00017791275469568272,2.5838174910920531e-05
75992752.075195312,75.992752075195,1.2107088618969211e-05,0.00043239502982744723,5.6700977977954237e-05,5.4518155788134714e-05,3.3926363971678162e-05,5.5699823230195028e-05,0.0021842998361517874,0.0002060978124412079,0.00014737117594699231,0.00019328415380814257,2.9043263032015757e-05
